NAME,CID,WEIGHT,HYDRO_BOND_DONOR_COUNT,HYDRO_BOND_ACCEPTOR_COUNT,TOPO_POLAR_SURFACE_AREA,HEAVY_ATOM_COUNT,FORMAL_CHARGE,COMPLEXITY,MELTING_POINT(K),BOILING_POINT,SOLUBILITY (mg/L),logP,DENSITY,pH,pKa,DISSOCIATION_CONST,COLLISION_CROSS_SEC,LABEL
acebutolol,1978,336.4,3,5,87.7,24,0,401,410.15,,259,1.71,,,,,"190.2 â„«Â² [M+H]+ [CCS Type: TW, Method: Major Mix IMS/Tof Calibration Kit (Waters)]",1
amiloride,16231,229.63,4,5,159,15,0,279,513.65,,616,-0.3,,,8.7,,,1
amlodipine,2162,408.9,2,7,99.9,28,0,647,473.15,527.2,7.4,3,,,,,,1
atenolol,2249,266.34,3,4,84.6,19,0,263,432.15,,13300,0.16,,,9.6,,"159.5 â„«Â² [M+H]+ [CCS Type: TW, Method: Major Mix IMS/Tof Calibration Kit (Waters)]",1
azilsartan,135415867,456.4,2,7,115,34,0,783,486.15,,7.03,5.5,,,6.1,,,1
benazepril,5362124,424.5,2,6,95.9,31,0,619,407.15,691.2,10.5,1.3,,,,,,1
bendroflumethiazide,2315,421.4,3,10,135,27,0,740,495.65,,108,1.89,,,8.5,,"188.6 â„«Â² [M+H]+ [CCS Type: TW, Method: calibrated with polyalanine and drug standards]",1
betaxolol,2369,307.4,2,4,50.7,22,0,286,344.15,,451,2.81,,,9.4,,,1
bisoprolol,2405,325.4,2,5,60,23,0,278,374.65,445,70.7,2.2,,,9.5,,,1
bucindolol,51045,363.5,3,4,81.1,27,0,515,459.15,,7.44,3.45,,,,,,1
bumetanide,2471,364.4,3,7,127,25,0,528,503.65,,25.7,2.6,,,,,,1
candesartan,2541,440.5,2,7,119,33,0,660,457.15,,7.45,3.52,,,,,,1
captopril,44093,217.29,2,4,58.6,14,0,244,376.65,,4520,0.34,,,,,,1
carteolol,2583,292.37,3,4,70.6,21,0,354,543.15,,421,1.1,,,,,,1
carvedilol,2585,406.5,3,5,75.7,30,0,508,387.15,,88000,3.8,,,,,,1
chlorothiazide,2720,295.7,2,6,135,17,0,532,921.65,,266,-0.24,,,6.85,,,1
chlorthalidone,2732,338.8,3,5,118,22,0,564,512.15,,120,0.85,,,,,,1
